Transaction_ID,Order_Date,Customer_Name,Customer_Email,Product_SKU,Category,Quantity,Unit_Price,Gross_Sales,Discount_Pct,Net_Revenue,Payment_Type,Shipping_State,Shipping_City,Zip_Code,Order_Status,Return_Reason,Customer_Type,Coupon_Used,Store_Region,Loyalty_Pts,Notes
183810,2023-02-01,Alice Brown, ,381,home & kitchen,2,$78.37,$653.74,7%,,STRIPE,FL,San Francisco,13905,Completed,Size,New,WELCOME5,Northeast,N/A,Call customer
TXN-88907,1/18/2023,"doe, john",user1@gmail.com,00833,Books,5,$215.56,$1173.81,0,424.5,Credit Card,NY,Miami,54597,cancelled,Size,Returning,,South,980,
TXN-54118,2/3/2023,Jane Smith,user2@gmail.com,00199,Apparel,3,$305.83,$1710.69,0,1097.3,STRIPE,California,Miami,20328,PENDING,Late,Returning,FREESHIP,Northeast,196,
TXN-19116,1/22/2023,"doe, john",user3@gmail.com,00891,Apparel,1,$429.11,$1799.73,0,576.39,apple_pay,Texas,NYC,58520,cancelled,Size,New,,East,718,
TXN-99593,11/3/2023,"SMITH, JANE",user4@gmail.com,00750,Home & Kitchen,5,$367.27,$745.10,17%,412.22,STRIPE,New York,Austin,17331,shipped,Defective,Returning,FREESHIP,West,274,
TXN-18675,2023-04-19,Alice Brown,user5@gmail.com,00422,Home & Kitchen,4,$203.86,$1871.82,0,693.69,cc,NY,NYC,83579,PENDING,Late,Returning,,Northeast,N/A,
TXN-66155,10/13/2023,J. Doe,user6@gmail.com,00324,Home & Kitchen,5,$251.82,$1633.67,0,1293.04,PayPal,NY,Miami,88172,Completed,None,New,None,Northeast,479,
TXN-79352,5/18/2023,John Doe,user7@gmail.com,00796,Books,1,$344.04,$1305.46,0,407.57,cc,California,Austin,66985,shipped,None,Returning,,North,976,
TXN-44522,9/25/2023,"doe, john",user8@gmail.com,619,Electronics,3,$422.42,$1261.49,11%,237.73,PayPal,il,Chicago,10074,PENDING,Late,Returning,None,North,114,
TXN-57576,5/8/2023,John Doe,user9@gmail.com,00346,Toys,1,$51.97,$1228.99,0,113.13,STRIPE,NY,NYC,96474,Refunded,,New,,South,271,
169163,2023-10-14,"doe, john",user10@gmail.com,00652,Books,2,$359.34,$1098.49,0,1010.81,cc,Florida,Chicago,69177,Completed,Size,Returning,WELCOME5,North,N/A,
TXN-54313,1/19/2023,"SMITH, JANE",user11@gmail.com,00335,Toys,2,$13.52,$1561.76,0,97.72,Credit Card,CA,Austin,19287,PENDING,Size,Returning,,East,685,
TXN-73624,4/18/2023,"doe, john",user12@gmail.com,00840,toys,5,$241.61,$1676.93,18%,293.71,Credit Card,FL,Austin,65519,Refunded,None,New,SUMMER10,North,62,
TXN-62772,12/11/2023,John Doe,user13@gmail.com,00354,Home & Kitchen,2,$272.78,$710.27,0,283.4,apple_pay,New York,San Francisco,68082,PENDING,Defective,Returning,,North,667,
TXN-80855,1/3/2023,"doe, john",user14@gmail.com,00270,Beauty,4,$245.87,$1796.98,0,1354.64,PayPal,FL,San Francisco,61173,cancelled,None,Returning,FREESHIP,West,713,
TXN-82845,2023-11-23,Jane Smith, ,00258,Home & Kitchen,3,$116.67,$587.72,0,1106.25,Credit Card,Texas,San Francisco,16572,PENDING,None,New,,Northeast,N/A,
TXN-79615,3/2/2023,"SMITH, JANE",user16@gmail.com,182,Home & Kitchen,1,$301.57,$1512.82,12%,611.63,STRIPE,New York,Chicago,87924,Completed,,Returning,SUMMER10,West,673,
TXN-86503,10/17/2023,J. Doe,user17@gmail.com,00367,Home & Kitchen,3,$126.96,$1093.68,0,1010.82,cc,Florida,Austin,19508,Completed,None,Returning,,Northeast,576,
TXN-23104,2/18/2023,"doe, john",user18@gmail.com,00618,Apparel,2,$467.30,$1821.30,0,1320.11,cc,TX,NYC,67433,PENDING,Late,New,SUMMER10,Northeast,306,
TXN-96951,2/5/2023,J. Doe,user19@gmail.com,00218,Electronics,5,$86.17,$922.63,0,323.84,cc,New York,Austin,76244,Refunded,Late,Returning,,North,94,
183136,2023-07-27,J. Doe,user20@gmail.com,00145,Electronics,3,$387.85,$1455.67,13%,,PayPal,Florida,Chicago,66057,PENDING,Defective,Returning,SUMMER10,North,N/A,
TXN-29536,9/2/2023,J. Doe,user21@gmail.com,00696,Toys,2,$220.60,$562.74,0,553.33,Credit Card,Texas,NYC,99399,shipped,Defective,New,,East,798,
TXN-83385,7/20/2023,Alice Brown,user22@gmail.com,00258,Home & Kitchen,2,$488.34,$1716.16,0,1323.31,Credit Card,NY,Austin,63964,shipped,Late,Returning,WELCOME5,North,391,
